ra,dec,id,name,mag,bv
78.357083,38.484444,1689, 11Mu  Aur,4.86,0.18
78.074583,-11.869167,1696,  3Iot Lep,4.45,-0.1
78.322917,2.861111,1698, 17Rho Ori,4.46,1.19
78.232917,-16.205556,1702,  5Mu  Lep,3.31,-0.11
78.307917,-12.941389,1705,  4Kap Lep,4.36,-0.1
79.1725,45.998056,1708, 13Alp Aur,0.08,0.8
78.634583,-8.201667,1713, 19Bet Ori,0.12,-0.03
79.544583,33.371667,1726, 16    Aur,4.54,1.27
79.785417,40.099167,1729, 15Lam Aur,4.71,0.63
79.401667,-6.844444,1735, 20Tau Ori,3.6,-0.11
79.819167,22.096389,1739,109    Tau,4.94,0.93
79.37125,-34.895278,1743,   Omi Col,4.83,1.0
78.439167,-67.185278,1744,   The Dor,4.83,1.28
79.89375,-13.176667,1756,  6Lam Lep,4.29,-0.26
80.112083,-21.239444,1762,HR1762,4.71,-0.05
80.440417,-0.3825,1765, 22    Ori,4.73,-0.17
80.708333,3.544444,1770, 23    Ori,5.0,-0.15
81.163333,37.385556,1773, 21Sig Aur,4.99,1.42
81.105833,17.383333,1780,111    Tau,4.99,0.53
80.986667,-7.808056,1784, 29    Ori,4.14,0.96
81.119167,-2.396944,1788, 28Eta Ori,3.36,-0.17
81.186667,1.846389,1789, 25Psi1Ori,4.95,-0.2
81.282917,6.349722,1790, 24Gam Ori,1.64,-0.22
81.572917,28.6075,1791,112Bet Tau,1.65,-0.13
81.90875,21.936944,1810,114    Tau,4.88,-0.15
81.709167,3.095556,1811, 30Psi2Ori,4.59,-0.21
82.06125,-20.759444,1829,  9Bet Lep,2.84,0.82
82.433333,-1.092222,1834, 31    Ori,4.71,1.57
82.69625,5.948056,1839, 32    Ori,4.2,-0.14
83.182083,32.191944,1843, 25Chi Aur,4.76,0.34
83.053333,18.594444,1845,119    Tau,4.38,2.07
83.001667,-0.299167,1852, 34Del Ori,2.23,-0.22
82.9825,-7.301389,1855, 36Ups Ori,4.62,-0.26
82.802917,-35.470556,1862,   Eps Col,3.87,1.14
83.1825,-17.822222,1865, 11Alp Lep,2.58,0.21
83.705,9.489444,1876, 37Phi1Ori,4.41,-0.16
83.784583,9.934167,1879, 39Lam Ori,3.54,-0.18
83.76125,-6.001944,1887,HR1887,4.78,-0.25
83.846667,-4.838333,1892, 42    Ori,4.59,-0.19
83.858333,-5.91,1899, 44Iot Ori,2.77,-0.24
84.053333,-1.201944,1903, 46Eps Ori,1.7,-0.19
84.22625,9.290556,1907, 40Phi2Ori,4.09,0.95
84.41125,21.1425,1910,123Zet Tau,3.0,-0.19
83.40625,-62.489722,1922,   Bet Dor,3.76,0.82
84.686667,-2.6,1931, 48Sig Ori,3.81,-0.24
84.79625,4.121389,1934, 47Ome Ori,4.57,-0.11
84.72125,-7.213056,1937, 49    Ori,4.8,0.13
85.32375,16.533889,1946,126    Tau,4.86,-0.13
85.189583,-1.942778,1948, 50Zet Ori,2.05,-0.21
85.19,-1.942778,1949, 50Zet Ori,4.21,
85.210833,-1.128889,1952,HR1952,4.95,-0.21
84.912083,-34.074167,1956,   Alp Col,2.64,-0.12
85.619167,1.474722,1963, 51    Ori,4.91,1.17
86.115833,-22.448333,1983, 13Gam Lep,3.6,0.47
87.29375,39.181111,1995, 29Tau Aur,4.52,0.94
86.73875,-14.821944,1998, 14Zet Lep,3.55,0.1
87.254167,24.5675,2002,132    Tau,4.86,1.01
86.939167,-9.669722,2004, 53Kap Ori,2.06,-0.17
87.387083,12.651111,2010,134    Tau,4.91,-0.07
87.76,37.305556,2011, 31Ups Aur,4.74,1.62
87.8725,39.148611,2012, 32Nu  Aur,3.97,1.13
86.193333,-65.735556,2015,   Del Dor,4.35,0.21
86.82125,-51.066389,2020,   Bet Pic,3.85,0.17
88.711667,55.706944,2029, 30Xi  Aur,4.99,0.05
88.331667,27.612222,2034,136    Tau,4.58,-0.02
87.830417,-20.879167,2035, 15Del Lep,3.81,0.99
88.11,1.855,2037, 56    Ori,4.78,1.38
87.74,-35.768333,2040,   Bet Col,3.12,1.16
87.457083,-56.166667,2042,   Gam Pic,4.51,1.1
88.595417,20.276111,2047, 54Chi1Ori,4.41,0.59
88.27875,-33.801389,2056,   Lam Col,4.87,-0.15
88.792917,7.406944,2061, 58Alp Ori,0.5,1.85
89.881667,54.284722,2077, 33Del Aur,3.72,1.0
89.49875,25.953889,2084,139    Tau,4.82,-0.06
89.10125,-14.167778,2085, 16Eta Lep,3.71,0.33
88.874583,-37.120833,2087,   Xi  Col,4.97,1.11
89.882083,44.9475,2088, 34Bet Aur,1.9,0.03
89.98375,45.936944,2091, 35Pi  Aur,4.26,1.72
89.930417,37.2125,2095, 37The Aur,2.62,-0.08
88.525417,-63.09,2102,HR2102,4.65,1.05
89.384167,-35.283333,2106,   Gam Col,4.36,-0.18
90.014167,-3.074167,2113,HR2113,4.53,1.22
89.786667,-42.815278,2120,   Eta Col,3.96,1.14
90.595833,9.6475,2124, 61Mu  Ori,4.12,0.16
90.46,-10.598056,2128,  3    Mon,4.95,-0.12
91.03,23.263333,2134,  1    Gem,4.16,0.82
90.98,20.138333,2135, 62Chi2Ori,4.63,0.28
91.24625,-16.484444,2148, 17    Lep,4.93,0.24
91.53875,-14.935278,2155, 18The Lep,4.67,0.05
91.892917,14.768333,2159, 67Nu  Ori,4.42,-0.17
93.01375,16.130556,2198, 69    Ori,4.95,-0.14
92.985,14.208889,2199, 70Xi  Ori,4.48,-0.18
94.711667,69.319722,2209,HR2209,4.8,0.03
92.574583,-54.968611,2212,   Del Pic,4.81,-0.23
94.478333,61.515278,2215,  1    Lyn,4.98,1.83
93.719167,22.506667,2216,  7Eta Gem,3.28,1.6
93.844583,29.498056,2219, 44Kap Aur,4.35,1.02
93.71375,-6.274722,2227,  5Gam Mon,3.98,1.32
94.905833,59.010833,2238,  2    Lyn,4.48,0.01
94.137917,-35.140556,2256,   Kap Col,4.37,1.0
94.998333,-2.944444,2275,HR2275,4.9,1.6
95.078333,-30.063333,2282,  1Zet CMa,3.02,-0.19
95.74,22.513611,2286, 13Mu  Gem,2.88,1.64
96.224583,49.288056,2289, 46Psi1Aur,4.91,1.97
95.675,-17.955833,2294,  2Bet CMa,1.98,-0.23
95.528333,-33.436389,2296,   Del Col,3.85,0.88
95.942083,4.592778,2298,  8Eps Mon,4.44,0.18
95.987917,-52.695833,2326,   Alp Car,-0.72,0.15
97.240833,20.212222,2343, 18Nu  Gem,4.15,-0.13
97.204167,-7.032778,2356, 11Bet Mon,4.6,-0.1
97.042083,-32.58,2361,   Lam CMa,4.48,-0.17
98.225833,7.333056,2385, 13    Mon,4.5,0.0
97.96375,-23.418333,2387,  4Xi 1CMa,4.33,-0.24
98.764167,-22.964722,2414,  5Xi 2CMa,4.54,-0.05
99.427917,16.399167,2421, 24Gam Gem,1.93,0.0
99.832917,42.488889,2427, 50Psi2Aur,4.79,1.23
99.170833,-19.255833,2429,  7Nu 2CMa,3.95,1.06
98.744167,-52.975556,2435,HR2435,4.39,-0.02
99.4725,-18.2375,2443,  8Nu 3CMa,4.43,1.15
99.819583,-14.145833,2450,HR2450,4.82,1.5
99.440417,-43.196111,2451,   Nu  Pup,3.17,-0.11
100.244583,9.895556,2456, 15    Mon,4.66,-0.25
99.656667,-48.220278,2462,HR2462,4.93,0.87
101.55875,59.441667,2470, 12    Lyn,4.87,0.08
100.982917,25.131111,2473, 27Eps Gem,2.98,1.4
100.997083,13.227778,2478, 30    Gem,4.49,1.16
101.3225,12.895556,2484, 31Xi  Gem,3.36,0.43
101.287083,-16.716111,2491,  9Alp CMa,-1.46,0.0
101.8325,8.037222,2503, 17    Mon,4.77,1.4
101.965,2.412222,2506, 18    Mon,4.47,1.11
105.016667,76.9775,2527,HR2527,4.55,1.36
102.460417,-32.508611,2538, 13Kap CMa,3.96,-0.23
103.197083,33.961111,2540, 34The Gem,3.6,0.1
102.718333,-34.367222,2549,HR2549,4.99,1.38
102.0475,-61.941389,2550,   Alp Pic,3.27,0.21
102.484167,-50.614722,2553,   Tau Pup,2.93,1.2
102.46375,-53.622222,2554,HR2554,4.4,0.92
104.31875,58.4225,2560, 15    Lyn,4.35,0.85
103.66125,13.177778,2564, 38    Gem,4.65,0.3
103.387083,-20.224167,2571, 15    CMa,4.83,-0.21
103.5475,-12.038611,2574, 14The CMa,4.07,1.43
103.532917,-24.183889,2580, 16Omi1CMa,3.87,1.73
104.404583,45.094167,2585, 16    Lyn,4.9,0.03
103.905833,-20.136389,2590, 19Pi  CMa,4.68,0.37
104.0275,-14.043611,2593, 18Mu  CMa,5.0,1.18
104.034167,-17.054167,2596, 20Iot CMa,4.37,-0.07
104.066667,-48.721111,2608,HR2608,4.95,1.69
104.65625,-28.972222,2618, 21Eps CMa,1.5,-0.21
105.429583,-27.934722,2646, 22Sig CMa,3.47,1.73
105.728333,-4.239167,2648, 19    Mon,4.99,-0.2
106.027083,20.570278,2650, 43Zet Gem,3.79,0.79
105.75625,-23.833333,2653, 24Omi2CMa,3.02,-0.08
105.939583,-15.633333,2657, 23Gam CMa,4.12,-0.12
105.97375,-49.583889,2672,HR2672,4.93,0.13
107.097917,-26.393333,2693, 25Del CMa,1.84,0.68
107.91375,39.320556,2696, 63    Aur,4.9,1.45
107.785,30.245278,2697, 46Tau Gem,4.41,1.26
